cluster_leiden,line_count,sentence_count,dash_count,question_count,exclamation_count,looks_like_dialogue
0,1.0,2.6610470275066547,1.2768411712511092,0.38331854480922806,0.47116237799467614,0.27861579414374443
1,1.0,1.9932975871313674,0.7010723860589813,0.17828418230563003,0.2613941018766756,0.16621983914209115
2,1.0,4.596952908587258,3.533240997229917,1.2285318559556786,1.3462603878116344,0.8628808864265928
3,1.0,2.502835538752363,1.007561436672968,0.27977315689981097,0.32892249527410206,0.22684310018903592
4,1.0,6.893203883495145,4.027184466019418,1.4233009708737865,1.741747572815534,0.7961165048543689
5,1.0,2.7857142857142856,0.9880952380952381,0.2757936507936508,0.30952380952380953,0.2003968253968254
6,1.0,5.666666666666667,4.247165532879818,1.2653061224489797,1.3718820861678005,0.8684807256235828
7,1.0,5.656521739130435,3.591304347826087,1.117391304347826,1.008695652173913,0.6739130434782609
8,1.0,5.055299539170507,3.4377880184331797,1.119815668202765,1.4193548387096775,0.7373271889400922
9,1.0,2.7942583732057416,1.0813397129186604,0.2583732057416268,0.37799043062200954,0.22009569377990432
10,1.0,2.3920454545454546,1.3238636363636365,0.3068181818181818,0.7727272727272727,0.3977272727272727
11,1.0,4.505376344086022,1.89247311827957,0.6451612903225806,0.7419354838709677,0.3978494623655914
