cluster_final,tag,count,share_of_cluster,cluster_size
0,politics_power,480,0.6751054852320675,711
0,finance_economy,45,0.06329113924050633,711
0,health_medicine,39,0.05485232067510549,711
0,media_popculture,32,0.0450070323488045,711
0,covid_pandemic,25,0.035161744022503515,711
0,absurd_philosophy,24,0.03375527426160337,711
0,literature_folklore_characters,18,0.02531645569620253,711
0,army_police,16,0.02250351617440225,711
0,it_internet,16,0.02250351617440225,711
0,cities_places,13,0.01828410689170183,711
0,work_professions,10,0.014064697609001406,711
0,science_space,10,0.014064697609001406,711
0,religion_holidays,9,0.012658227848101266,711
0,everyday_life,8,0.011251758087201125,711
0,sex_gender,7,0.009845288326300985,711
0,sport,7,0.009845288326300985,711
0,education_children,6,0.008438818565400843,711
0,alcohol_smoking_drugs,5,0.007032348804500703,711
0,soviet_history_politics,4,0.005625879043600563,711
0,law_crime,4,0.005625879043600563,711
0,consumer_services,4,0.005625879043600563,711
0,transport,3,0.004219409282700422,711
0,textual_forms,2,0.0028129395218002813,711
0,food_diet,2,0.0028129395218002813,711
0,family_relationships,1,0.0014064697609001407,711
1,family_relationships,165,0.3113207547169811,530
1,sex_gender,135,0.25471698113207547,530
1,work_professions,54,0.1018867924528302,530
1,it_internet,38,0.07169811320754717,530
1,transport,23,0.04339622641509434,530
1,everyday_life,23,0.04339622641509434,530
1,finance_economy,22,0.04150943396226415,530
1,alcohol_smoking_drugs,21,0.03962264150943396,530
1,cities_places,15,0.02830188679245283,530
1,media_popculture,13,0.024528301886792454,530
1,education_children,13,0.024528301886792454,530
1,absurd_philosophy,13,0.024528301886792454,530
1,religion_holidays,10,0.018867924528301886,530
1,literature_folklore_characters,9,0.016981132075471698,530
1,politics_power,9,0.016981132075471698,530
1,army_police,8,0.01509433962264151,530
1,consumer_services,7,0.013207547169811321,530
1,food_diet,7,0.013207547169811321,530
1,sport,5,0.009433962264150943,530
1,animals,5,0.009433962264150943,530
1,law_crime,3,0.005660377358490566,530
1,health_medicine,3,0.005660377358490566,530
1,textual_forms,3,0.005660377358490566,530
1,covid_pandemic,2,0.0037735849056603774,530
1,ethnic_regional,1,0.0018867924528301887,530
1,science_space,1,0.0018867924528301887,530
2,sex_gender,294,0.5632183908045977,522
2,family_relationships,117,0.22413793103448276,522
2,it_internet,25,0.04789272030651341,522
2,media_popculture,25,0.04789272030651341,522
2,absurd_philosophy,17,0.032567049808429116,522
2,everyday_life,14,0.02681992337164751,522
2,literature_folklore_characters,9,0.017241379310344827,522
2,transport,9,0.017241379310344827,522
2,education_children,7,0.013409961685823755,522
2,finance_economy,6,0.011494252873563218,522
2,work_professions,5,0.009578544061302681,522
2,religion_holidays,5,0.009578544061302681,522
2,alcohol_smoking_drugs,5,0.009578544061302681,522
2,cities_places,5,0.009578544061302681,522
2,politics_power,4,0.007662835249042145,522
2,animals,4,0.007662835249042145,522
2,textual_forms,4,0.007662835249042145,522
2,consumer_services,3,0.005747126436781609,522
2,food_diet,3,0.005747126436781609,522
2,health_medicine,3,0.005747126436781609,522
2,covid_pandemic,3,0.005747126436781609,522
2,army_police,2,0.0038314176245210726,522
2,science_space,1,0.0019157088122605363,522
2,law_crime,1,0.0019157088122605363,522
2,sport,1,0.0019157088122605363,522
3,absurd_philosophy,131,0.28665207877461707,457
3,work_professions,59,0.12910284463894967,457
3,finance_economy,54,0.11816192560175055,457
3,it_internet,44,0.0962800875273523,457
3,sex_gender,34,0.07439824945295405,457
3,everyday_life,32,0.0700218818380744,457
3,politics_power,25,0.05470459518599562,457
3,media_popculture,19,0.04157549234135667,457
3,covid_pandemic,13,0.028446389496717725,457
3,textual_forms,11,0.024070021881838075,457
3,alcohol_smoking_drugs,11,0.024070021881838075,457
3,transport,10,0.02188183807439825,457
