result_id,display_name,method_type,evaluation_scope,main_or_auxiliary,independent_external_validation,label_guided_representation,ari,ami,nmi,homogeneity,completeness,v_measure,pairwise_f1,macro_f1,micro_f1,weighted_f1,precision,recall,subset_accuracy,note
unsupervised_leiden_final,Unsupervised Leiden final,unsupervised_clustering,"full corpus, level-2 detailed macro-tags",main,True,False,0.2768398283612387,0.3771557986073597,0.3870974267318269,0.3753760324047868,0.399574434053087,0.3870974267318268,0.3388263088979487,,,,0.3518516488608496,0.3267309233380156,,Primary result to report.
unsupervised_leiden_level1,Unsupervised Leiden evaluated at level-1,hierarchical_evaluation,"full corpus, broad level-1 macro-tags",auxiliary,True,False,0.1696994956013784,0.2689659343961532,0.2721825760379103,0.3420032123758933,0.226036728199259,0.2721825760379104,0.2477473844585293,,,,0.4913110070542326,0.1656350784777467,,"Same clustering, broader evaluation target; not automatically higher."
unsupervised_leiden_level2,Unsupervised Leiden evaluated at level-2,hierarchical_evaluation,"full corpus, detailed level-2 macro-tags",auxiliary,True,False,0.2768398283612387,0.3771557986073597,0.3870974267318269,0.3753760324047868,0.399574434053087,0.3870974267318268,0.3388263088979487,,,,0.3518516488608496,0.3267309233380156,,Should match detailed final validation except for hierarchy plumbing.
supervised_tag_classifier,Supervised tag classifier,supervised_multilabel_classification,held-out test split,auxiliary_control,False,True,,,,,,,,0.6664847814517855,0.725925925925926,0.7180505417265465,0.7511792452830188,0.7023153252480706,0.6723095525997581,Best test feature set: hybrid_word_char_bge_pca. Not clustering.
semi_supervised_finetuned_clustering_holdout,Semi-supervised fine-tuned clustering holdout,semi_supervised_clustering_upper_bound,holdout split,auxiliary_upper_bound,False,True,0.3501475307106389,0.3899674958343634,0.4309292843038229,0.4053334464673788,0.4599756463952205,0.4309292843038229,0.4141171604838988,,,,0.4018595732346318,0.4271460397212874,,Validation labels selected the representation/parameters; not independent.
semi_supervised_finetuned_clustering_full,Semi-supervised fine-tuned clustering full corpus,semi_supervised_clustering_upper_bound,"full corpus, label-guided",auxiliary_upper_bound,False,True,0.4029836782174222,0.4266723374303756,0.4340808197949147,0.4074789837406587,0.4643985925272103,0.4340808197949146,0.4633812908056344,,,,0.4492039374408719,0.4784827134378244,,Full-corpus label-guided number for context only.
