year,month,archive_url,candidate_count_total_month,candidate_count_tagged_month,selected_count
2002,3,https://www.anekdot.ru/an/an0203/j0203;100.html,100,7,7
2002,4,https://www.anekdot.ru/an/an0204/j0204;100.html,100,9,9
2002,5,https://www.anekdot.ru/an/an0205/j0205;100.html,100,14,14
2002,6,https://www.anekdot.ru/an/an0206/j0206;100.html,100,11,11
2002,7,https://www.anekdot.ru/an/an0207/j0207;100.html,100,8,8
2002,8,https://www.anekdot.ru/an/an0208/j0208;100.html,100,7,7
2002,9,https://www.anekdot.ru/an/an0209/j0209;100.html,10,0,0
2002,10,https://www.anekdot.ru/an/an0210/j0210;100.html,100,5,5
2002,11,https://www.anekdot.ru/an/an0211/j0211;100.html,100,9,9
2002,12,https://www.anekdot.ru/an/an0212/j0212;100.html,100,11,11
2003,1,https://www.anekdot.ru/an/an0301/j0301;100.html,100,9,9
2003,2,https://www.anekdot.ru/an/an0302/j0302;100.html,100,14,14
2003,3,https://www.anekdot.ru/an/an0303/j0303;100.html,10,0,0
2003,4,https://www.anekdot.ru/an/an0304/j0304;100.html,100,12,12
2003,5,https://www.anekdot.ru/an/an0305/j0305;100.html,100,13,13
2003,6,https://www.anekdot.ru/an/an0306/j0306;100.html,100,14,14
2003,7,https://www.anekdot.ru/an/an0307/j0307;100.html,100,12,12
2003,8,https://www.anekdot.ru/an/an0308/j0308;100.html,100,6,6
2003,9,https://www.anekdot.ru/an/an0309/j0309;100.html,100,16,16
2003,10,https://www.anekdot.ru/an/an0310/j0310;100.html,100,11,11
2003,11,https://www.anekdot.ru/an/an0311/j0311;100.html,100,7,7
2003,12,https://www.anekdot.ru/an/an0312/j0312;100.html,100,13,13
2004,1,https://www.anekdot.ru/an/an0401/j0401;100.html,100,14,14
2004,2,https://www.anekdot.ru/an/an0402/j0402;100.html,100,12,12
2004,3,https://www.anekdot.ru/an/an0403/j0403;100.html,100,13,13
2004,4,https://www.anekdot.ru/an/an0404/j0404;100.html,100,8,8
2004,5,https://www.anekdot.ru/an/an0405/j0405;100.html,100,17,17
2004,6,https://www.anekdot.ru/an/an0406/j0406;100.html,100,17,17
2004,7,https://www.anekdot.ru/an/an0407/j0407;100.html,100,15,15
2004,8,https://www.anekdot.ru/an/an0408/j0408;100.html,100,10,10
2004,9,https://www.anekdot.ru/an/an0409/j0409;100.html,10,2,2
2004,10,https://www.anekdot.ru/an/an0410/j0410;100.html,100,9,9
2004,11,https://www.anekdot.ru/an/an0411/j0411;100.html,100,16,16
2004,12,https://www.anekdot.ru/an/an0412/j0412;100.html,100,15,15
2005,1,https://www.anekdot.ru/an/an0501/j0501;100.html,100,9,9
2005,2,https://www.anekdot.ru/an/an0502/j0502;100.html,100,10,10
2005,3,https://www.anekdot.ru/an/an0503/j0503;100.html,10,0,0
2005,4,https://www.anekdot.ru/an/an0504/j0504;100.html,100,5,5
2005,5,https://www.anekdot.ru/an/an0505/j0505;100.html,100,8,8
2005,6,https://www.anekdot.ru/an/an0506/j0506;100.html,100,7,7
2005,7,https://www.anekdot.ru/an/an0507/j0507;100.html,100,5,5
2005,8,https://www.anekdot.ru/an/an0508/j0508;100.html,100,8,8
2005,9,https://www.anekdot.ru/an/an0509/j0509;100.html,100,8,8
2005,10,https://www.anekdot.ru/an/an0510/j0510;100.html,100,13,13
2005,11,https://www.anekdot.ru/an/an0511/j0511;100.html,100,13,13
2005,12,https://www.anekdot.ru/an/an0512/j0512;100.html,100,6,6
2006,1,https://www.anekdot.ru/an/an0601/j0601;100.html,100,14,14
2006,2,https://www.anekdot.ru/an/an0602/j0602;100.html,100,3,3
2006,3,https://www.anekdot.ru/an/an0603/j0603;100.html,100,14,14
2006,4,https://www.anekdot.ru/an/an0604/j0604;100.html,100,15,15
2006,5,https://www.anekdot.ru/an/an0605/j0605;100.html,100,20,20
2006,6,https://www.anekdot.ru/an/an0606/j0606;100.html,100,16,16
2006,7,https://www.anekdot.ru/an/an0607/j0607;100.html,100,13,13
2006,8,https://www.anekdot.ru/an/an0608/j0608;100.html,100,12,12
2006,9,https://www.anekdot.ru/an/an0609/j0609;100.html,100,15,15
2006,10,https://www.anekdot.ru/an/an0610/j0610;100.html,100,18,18
2006,11,https://www.anekdot.ru/an/an0611/j0611;100.html,100,11,11
2006,12,https://www.anekdot.ru/an/an0612/j0612;100.html,100,12,12
2007,1,https://www.anekdot.ru/an/an0701/j0701;100.html,100,9,9
2007,2,https://www.anekdot.ru/an/an0702/j0702;100.html,15,1,1
2007,3,https://www.anekdot.ru/an/an0703/j0703;100.html,100,7,7
2007,4,https://www.anekdot.ru/an/an0704/j0704;100.html,100,15,15
2007,5,https://www.anekdot.ru/an/an0705/j0705;100.html,100,13,13
2007,6,https://www.anekdot.ru/an/an0706/j0706;100.html,15,3,3
2007,7,https://www.anekdot.ru/an/an0707/j0707;100.html,100,20,20
