feature_set,method,metric,params,k,resolution,seed,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score,n_clusters,error
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,kmeans,,n_clusters=30,,,,5509.0,30.0,0.044472681067344345,0.0,0.18550691284011267,0.31100771635719215,0.32657099720896593,0.18550691284011267,0.31100771635719215,0.32657099720896593,0.18550691284011267,0.31100771635719215,0.32657099720896593,0.22319803531889815,0.33785464635265117,0.16664445813970274,0.24413597348949334,30.0,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=30,,,,5509.0,30.0,0.05717916137229987,0.0,0.17926072670096704,0.3075498391829767,0.32324100741632905,0.17926072670096704,0.3075498391829767,0.32324100741632905,0.17926072670096704,0.3075498391829767,0.32324100741632905,0.2182231913125347,0.3236049035070007,0.164616079343664,0.23974307596347466,30.0,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=25,,,,5509.0,25.0,0.06008349972771828,0.0,0.1781576568169781,0.3000487809811899,0.3134566413013894,0.1781576568169781,0.3000487809811899,0.3134566413013894,0.1781576568169781,0.3000487809811899,0.3134566413013894,0.22465807215348857,0.29877937329796533,0.18000288710850532,0.23675282799737649,25.0,
dense_bge_pca,kmeans,,n_clusters=30,,,,5509.0,30.0,0.049736794336540206,0.0,0.17452686837018944,0.30222362279585563,0.31801257932306004,0.17452686837018944,0.30222362279585563,0.31801257932306004,0.17452686837018944,0.30222362279585563,0.31801257932306004,0.21131387018669617,0.31597900829095144,0.1587345211193838,0.2345687039383322,30.0,
hybrid_dense_lexical_dw1.25_lw1.0,kmeans,,n_clusters=30,,,,5509.0,30.0,0.06280631693592303,0.0,0.16706842872205532,0.3030698107587796,0.31901414982958987,0.16706842872205532,0.3030698107587796,0.31901414982958987,0.16706842872205532,0.3030698107587796,0.31901414982958987,0.21119060836199077,0.29519881964336747,0.16440417298221652,0.23272614989816814,30.0,
hybrid_dense_lexical_dw1.25_lw1.0,kmeans,,n_clusters=25,,,,5509.0,25.0,0.07478671265202395,0.0,0.17036247845117727,0.29725267731525745,0.3109152502842331,0.17036247845117727,0.29725267731525745,0.3109152502842331,0.17036247845117727,0.29725267731525745,0.3109152502842331,0.22190058935609555,0.2743717688878227,0.18627679597581492,0.23266820944068206,25.0,
dense_bge_pca,agglomerative,cosine,n_clusters=25;linkage=average,,,,5509.0,25.0,0.17353421673624977,0.0,0.1680633436955144,0.2824890058749264,0.2971407575282442,0.1680633436955144,0.2824890058749264,0.2971407575282442,0.1680633436955144,0.2824890058749264,0.2971407575282442,0.24323771581431686,0.21796452573921815,0.27514051520081134,0.22984953682856404,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,kmeans,,n_clusters=25,,,,5509.0,25.0,0.06607369758576874,0.0,0.16903764686632583,0.28561222810723325,0.2992857767252956,0.16903764686632583,0.28561222810723325,0.2992857767252956,0.16903764686632583,0.28561222810723325,0.2992857767252956,0.2169478546678982,0.2892728963688775,0.17355501144664495,0.22604475479624797,25.0,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=18,,,,5509.0,18.0,0.08930840442911599,0.0,0.1732042339133144,0.2767348852325091,0.28694841709171875,0.1732042339133144,0.2767348852325091,0.28694841709171875,0.1732042339133144,0.2767348852325091,0.28694841709171875,0.23157688756260283,0.2577049492688039,0.21025922903098646,0.2253607290059464,18.0,
dense_bge_pca,kmeans,,n_clusters=25,,,,5509.0,25.0,0.054456344164095116,0.0,0.17321675011685875,0.2807349545878524,0.29446740220720424,0.17321675011685875,0.2807349545878524,0.29446740220720424,0.17321675011685875,0.2807349545878524,0.29446740220720424,0.21721417176360477,0.2939909146622693,0.17223452944758139,0.2251717008571501,25.0,
dense_bge_pca,kmeans,,n_clusters=20,,,,5509.0,20.0,0.08059538936286077,0.0,0.1694293254529646,0.2750121912415569,0.2863476627831472,0.1694293254529646,0.2750121912415569,0.2863476627831472,0.1694293254529646,0.2750121912415569,0.2863476627831472,0.22427844097160796,0.2591476100303151,0.19767994921650167,0.22227383977430917,20.0,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=20,,,,5509.0,20.0,0.08313668542385187,0.0,0.1660954720833291,0.27192080359327686,0.28329138823718797,0.1660954720833291,0.27192080359327686,0.28329138823718797,0.1660954720833291,0.27192080359327686,0.28329138823718797,0.22070430366803961,0.2563768185152124,0.19374626387801597,0.219176510136559,20.0,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,kmeans,,n_clusters=20,,,,5509.0,20.0,0.07514975494645126,0.0,0.15996506373572833,0.2715767058569904,0.2829700196152712,0.15996506373572833,0.2715767058569904,0.2829700196152712,0.15996506373572833,0.2715767058569904,0.2829700196152712,0.21584102359677965,0.24956610980549332,0.19014570644398918,0.2162155699152903,20.0,
dense_bge_pca,agglomerative,cosine,n_clusters=20;linkage=average,,,,5509.0,20.0,0.20947540388455255,0.0,0.15158107983553284,0.2659308686815763,0.27824416546670466,0.15158107983553284,0.2659308686815763,0.27824416546670466,0.15158107983553284,0.2659308686815763,0.27824416546670466,0.2333802487304859,0.1964228018561268,0.2874680983763716,0.21489758879974846,,
hybrid_dense_lexical_dw1.25_lw1.0,kmeans,,n_clusters=18,,,,5509.0,18.0,0.10836812488654929,0.0,0.15127518173682836,0.27175589129843863,0.28217312065363376,0.15127518173682836,0.27175589129843863,0.28217312065363376,0.15127518173682836,0.27175589129843863,0.28217312065363376,0.21701653684794714,0.22808080190074134,0.20697606846148578,0.21368032031373407,18.0,
hybrid_dense_lexical_dw1.25_lw1.0,kmeans,,n_clusters=20,,,,5509.0,20.0,0.08749319295697949,0.0,0.14620677530928464,0.2663237010334129,0.27787265851601994,0.14620677530928464,0.2663237010334129,0.27787265851601994,0.14620677530928464,0.2663237010334129,0.27787265851601994,0.20581839083639558,0.23054410736850078,0.1858825946222052,0.2077586155957521,20.0,
dense_bge_pca,kmeans,,n_clusters=18,,,,5509.0,18.0,0.09039753131239789,0.0,0.155384110434201,0.2542766647691164,0.2648997043728447,0.155384110434201,0.2542766647691164,0.2648997043728447,0.155384110434201,0.2542766647691164,0.2648997043728447,0.21527339144609958,0.2318654067147123,0.20089740956040072,0.2067501704665147,18.0,
hybrid_dense_lexical_dw1.25_lw1.0,kmeans,,n_clusters=15,,,,5509.0,15.0,0.11944091486658195,0.0,0.13791143345486756,0.25893865452692255,0.2679290014348007,0.13791143345486756,0.25893865452692255,0.2679290014348007,0.13791143345486756,0.25893865452692255,0.2679290014348007,0.21037129955719777,0.19946470130598284,0.22253961908674835,0.20221767121198453,15.0,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=15,,,,5509.0,15.0,0.08440733345434744,0.0,0.14723524641722982,0.2499140761792788,0.2589054153302813,0.14723524641722982,0.2499140761792788,0.2589054153302813,0.14723524641722982,0.2499140761792788,0.2589054153302813,0.21290586991254662,0.21285604880629538,0.21295571434652336,0.20146091697610435,15.0,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,kmeans,,n_clusters=15,,,,5509.0,15.0,0.09892902523143947,0.0,0.15281171409667546,0.24215171136159985,0.25125843106715934,0.15281171409667546,0.24215171136159985,0.25125843106715934,0.15281171409667546,0.24215171136159985,0.25125843106715934,0.22075796703321837,0.2182631849327458,0.22331044004345468,0.20124005767475614,15.0,
dense_bge_pca,kmeans,,n_clusters=15,,,,5509.0,15.0,0.09239426393174804,0.0,0.1522509917886798,0.24307757830733026,0.25214463256318304,0.1522509917886798,0.24307757830733026,0.25214463256318304,0.1522509917886798,0.24307757830733026,0.25214463256318304,0.21824896169190203,0.218237148437753,0.2182607762250316,0.20097676367724615,15.0,
dense_bge_pca,agglomerative,cosine,n_clusters=15;linkage=average,,,,5509.0,15.0,0.20947540388455255,0.0,0.14073612344056116,0.245158954221894,0.25473476147157237,0.14073612344056116,0.245158954221894,0.25473476147157237,0.14073612344056116,0.245158954221894,0.25473476147157237,0.2268394769303218,0.18286998737565474,0.2986463902815486,0.2003042136305046,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,kmeans,,n_clusters=18,,,,5509.0,18.0,0.0709747685605373,0.0,0.1520954821662122,0.24376042202326983,0.25443945124279055,0.1520954821662122,0.24376042202326983,0.25443945124279055,0.1520954821662122,0.24376042202326983,0.25443945124279055,0.21144148204010438,0.2360631947867039,0.19147081521950352,0.20027888827323614,18.0,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,agglomerative,cosine,n_clusters=25;linkage=average,,,,5509.0,25.0,0.2791795244145943,0.0,0.12459897109426456,0.2501945726071033,0.26605932020904105,0.12459897109426456,0.2501945726071033,0.26605932020904105,0.12459897109426456,0.2501945726071033,0.26605932020904105,0.21031282442858415,0.16741051985723715,0.28278117383169266,0.19599600078767712,,
hybrid_dense_lexical_dw0.75_lw0.25,agglomerative,cosine,n_clusters=25;linkage=average,,,,5509.0,25.0,0.28244690506444003,0.0,0.11948486991356656,0.24883593407609317,0.2647521989505086,0.11948486991356656,0.24883593407609317,0.2647521989505086,0.11948486991356656,0.24883593407609317,0.2647521989505086,0.20755669843814514,0.16300746241068081,0.28561368637488366,0.19331203721454476,,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=12,,,,5509.0,12.0,0.12488654928299146,0.0,0.13716618671142386,0.23336024345399253,0.24086675107924282,0.13716618671142386,0.23336024345399253,0.24086675107924282,0.13716618671142386,0.23336024345399253,0.24086675107924282,0.21555853650547024,0.19144829330071053,0.2466164383815166,0.19115029977513043,12.0,
