label_level,subset,rows,label_count,cluster_count,largest_cluster_share,ari,ami,nmi,homogeneity,completeness,v_measure,pairwise_precision,pairwise_recall,pairwise_f1,pairwise_total_pairs,pairwise_model_positive_pairs,pairwise_label_positive_pairs,pairwise_true_positive,pairwise_false_positive,pairwise_false_negative,pairwise_true_negative
level_1_broad,all,5509,7,20,0.12906153566890544,0.1696994956013784,0.2689659343961532,0.27218257603791035,0.3420032123758933,0.226036728199259,0.2721825760379104,0.4913110070542326,0.16563507847774672,0.24774738445852934,15171786,1003511,2976640,493036,510475,2483604,11684671
level_1_broad,single_clear_label,4993,7,20,0.12898057280192268,0.18814006615311848,0.29331422025067083,0.29676047940734945,0.3744837628529482,0.2457546424898912,0.2967604794073495,0.4645888058805917,0.1853379782718237,0.2649712309423357,12462528,824951,2067914,383263,441688,1684651,9952926
level_2_detailed,all,5509,27,20,0.12906153566890544,0.2768398283612387,0.3771557986073597,0.3870974267318269,0.3753760324047868,0.399574434053087,0.38709742673182684,0.3518516488608496,0.3267309233380156,0.3388263088979487,15171786,1003511,1080666,353087,650424,727579,13440696
level_2_detailed,single_clear_label,4921,27,20,0.12924202397886608,0.31048011971635175,0.4090998832011719,0.4197839448732644,0.40889358799362324,0.43127027617569613,0.4197839448732644,0.33900809777236374,0.3705675379584241,0.35408599115749706,12105660,801208,732973,271616,529592,461357,10843095
