macro_tag,line_count,sentence_count,dash_count,question_count,exclamation_count,looks_like_dialogue
animals,1.0,3.054054054054054,1.5135135135135136,0.3333333333333333,0.5945945945945946,0.3783783783783784
army_police,1.0,4.9714285714285715,2.9673469387755103,0.9755102040816327,1.3061224489795917,0.5795918367346938
character_cycles,1.0,4.315789473684211,2.817813765182186,0.9392712550607287,1.145748987854251,0.6558704453441295
education_children,1.0,5.64622641509434,3.6289308176100628,1.0959119496855345,1.1761006289308176,0.6949685534591195
everyday_life,1.0,2.928462709284627,1.6894977168949772,0.5251141552511416,0.6225266362252664,0.4048706240487062
family_relationships,1.0,2.9395109395109396,1.7091377091377091,0.5379665379665379,0.7001287001287001,0.42857142857142855
it_internet,1.0,2.8703703703703702,1.3888888888888888,0.43333333333333335,0.48148148148148145,0.31851851851851853
other,1.0,3.599453551912568,1.9202185792349726,0.6300546448087432,0.7530054644808744,0.42185792349726775
politics_power,1.0,2.8484349258649093,1.4332784184514002,0.5057660626029654,0.5321252059308073,0.3393739703459638
work_professions,1.0,4.576059850374065,2.9301745635910224,0.8603491271820449,0.9476309226932669,0.5660847880299252
