cluster_final,tag,count,share_of_cluster,cluster_size
0,Путин,159,0.22362869198312235,711
0,политика,106,0.1490857946554149,711
0,Украина,100,0.14064697609001406,711
0,Медведев,43,0.06047819971870605,711
0,коррупция,39,0.05485232067510549,711
0,пенсионеры,27,0.0379746835443038,711
0,коронавирус,25,0.035161744022503515,711
0,о жизни,21,0.029535864978902954,711
0,деньги,20,0.02812939521800281,711
0,Трамп,20,0.02812939521800281,711
0,санкции,17,0.02390998593530239,711
0,кризис,13,0.01828410689170183,711
0,звёзды,13,0.01828410689170183,711
0,тв,13,0.01828410689170183,711
0,Обама,11,0.015471167369901548,711
0,Москва,11,0.015471167369901548,711
0,демократия,10,0.014064697609001406,711
0,работа,9,0.012658227848101266,711
0,нанотехнологии,8,0.011251758087201125,711
0,интернет,8,0.011251758087201125,711
0,новогодний,8,0.011251758087201125,711
0,армия,7,0.009845288326300985,711
0,налоги,6,0.008438818565400843,711
0,грипп,6,0.008438818565400843,711
0,Навальный,6,0.008438818565400843,711
0,сбербанк,5,0.007032348804500703,711
0,Пушкин,4,0.005625879043600563,711
0,Сталин,4,0.005625879043600563,711
0,Березовский,4,0.005625879043600563,711
0,фсб,4,0.005625879043600563,711
0,гаи,4,0.005625879043600563,711
0,Абрамович,4,0.005625879043600563,711
0,врачи,4,0.005625879043600563,711
0,спорт,4,0.005625879043600563,711
0,конец света,3,0.004219409282700422,711
0,армянское радио,3,0.004219409282700422,711
0,студент,3,0.004219409282700422,711
0,геи,3,0.004219409282700422,711
0,милиция,3,0.004219409282700422,711
0,Прохоров,3,0.004219409282700422,711
0,Сочи 2014,3,0.004219409282700422,711
0,Рабинович,3,0.004219409282700422,711
0,Шерлок Холмс,2,0.0028129395218002813,711
0,наркотики,2,0.0028129395218002813,711
0,школа,2,0.0028129395218002813,711
0,фильмы,2,0.0028129395218002813,711
0,чукча,2,0.0028129395218002813,711
0,Онищенко,2,0.0028129395218002813,711
0,русский язык,2,0.0028129395218002813,711
0,погода,2,0.0028129395218002813,711
0,объявления,2,0.0028129395218002813,711
0,apple,2,0.0028129395218002813,711
0,кредиты,2,0.0028129395218002813,711
0,диета,2,0.0028129395218002813,711
0,пошлые,2,0.0028129395218002813,711
0,жкх,2,0.0028129395218002813,711
0,почта,2,0.0028129395218002813,711
0,война,2,0.0028129395218002813,711
0,приметы,2,0.0028129395218002813,711
0,кино,2,0.0028129395218002813,711
0,ии,2,0.0028129395218002813,711
0,ммм,1,0.0014064697609001407,711
0,егэ,1,0.0014064697609001407,711
0,трактор,1,0.0014064697609001407,711
0,смс,1,0.0014064697609001407,711
0,мобильный,1,0.0014064697609001407,711
0,Перельман,1,0.0014064697609001407,711
0,Карлсон,1,0.0014064697609001407,711
0,пиво,1,0.0014064697609001407,711
0,чапаев,1,0.0014064697609001407,711
0,Чебурашка,1,0.0014064697609001407,711
0,охота,1,0.0014064697609001407,711
0,аптека,1,0.0014064697609001407,711
0,твиттер,1,0.0014064697609001407,711
0,метро,1,0.0014064697609001407,711
0,1 апреля,1,0.0014064697609001407,711
0,золотая рыбка,1,0.0014064697609001407,711
0,Челябинск,1,0.0014064697609001407,711
0,космос,1,0.0014064697609001407,711
0,футбол,1,0.0014064697609001407,711
0,отдых,1,0.0014064697609001407,711
0,покемоны,1,0.0014064697609001407,711
0,муж и жена,1,0.0014064697609001407,711
0,telegram,1,0.0014064697609001407,711
0,мужчины,1,0.0014064697609001407,711
0,программист,1,0.0014064697609001407,711
0,сигареты,1,0.0014064697609001407,711
0,Одесса,1,0.0014064697609001407,711
0,девушки,1,0.0014064697609001407,711
0,водка,1,0.0014064697609001407,711
0,Чак Норрис,1,0.0014064697609001407,711
0,такси,1,0.0014064697609001407,711
1,муж и жена,136,0.25660377358490566,530
1,девушки,68,0.12830188679245283,530
1,мужчины,50,0.09433962264150944,530
1,работа,45,0.08490566037735849,530
1,секс,22,0.04150943396226415,530
1,блондинки,21,0.03962264150943396,530
1,интернет,20,0.03773584905660377,530
1,Одесса,15,0.02830188679245283,530
1,деньги,14,0.026415094339622643,530
1,свадьба,13,0.024528301886792454,530
1,тёща,12,0.022641509433962263,530
1,авто,11,0.020754716981132074,530
1,соседи,11,0.020754716981132074,530
1,о жизни,11,0.020754716981132074,530
1,водка,10,0.018867924528301886,530
1,смс,9,0.016981132075471698,530
1,дети,9,0.016981132075471698,530
1,мобильный,8,0.01509433962264151,530
1,кино,7,0.013207547169811321,530
1,лифт,6,0.011320754716981131,530
1,диета,6,0.011320754716981131,530
1,отдых,5,0.009433962264150943,530
1,программист,5,0.009433962264150943,530
1,наркотики,5,0.009433962264150943,530
1,новогодний,5,0.009433962264150943,530
1,8 марта,4,0.007547169811320755,530
1,армия,4,0.007547169811320755,530
1,кредиты,4,0.007547169811320755,530
1,любовь,4,0.007547169811320755,530
1,Ржевский,3,0.005660377358490566,530
1,Украина,3,0.005660377358490566,530
1,сбербанк,3,0.005660377358490566,530
1,спорт,3,0.005660377358490566,530
1,гаи,3,0.005660377358490566,530
1,пиво,3,0.005660377358490566,530
1,брюнетки,3,0.005660377358490566,530
1,реклама,3,0.005660377358490566,530
1,милиция,3,0.005660377358490566,530
1,сигареты,3,0.005660377358490566,530
1,пошлые,3,0.005660377358490566,530
1,политика,3,0.005660377358490566,530
1,русский язык,3,0.005660377358490566,530
1,пожарный,2,0.0037735849056603774,530
1,звёзды,2,0.0037735849056603774,530
1,авиация,2,0.0037735849056603774,530
1,рыбалка,2,0.0037735849056603774,530
1,тв,2,0.0037735849056603774,530
1,золотая рыбка,2,0.0037735849056603774,530
1,студент,2,0.0037735849056603774,530
1,геи,2,0.0037735849056603774,530
1,юмор,2,0.0037735849056603774,530
1,погода,2,0.0037735849056603774,530
1,жкх,2,0.0037735849056603774,530
1,фильмы,2,0.0037735849056603774,530
1,школа,2,0.0037735849056603774,530
1,футбол,2,0.0037735849056603774,530
1,объявления,2,0.0037735849056603774,530
