feature_set,method,params,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,minibatch_kmeans_ablation,dense=1.0;lexical=0.25;structural=0.1,5509,12,0.12543111272463242,0.0,0.1518122940192776,0.22681504539450414,0.23436677546670912,0.1518122940192776,0.22681504539450414,0.23436677546670912,0.1518122940192776,0.22681504539450414,0.23436677546670912,0.22890726590903987,0.20482461171564076,0.2594076245574488,0.1952798443331694
hybrid_dense_lexical_dw1.25_lw1.0,minibatch_kmeans_ablation,dense=1.25;lexical=1.0,5509,12,0.12470502813577782,0.0,0.13776511180995518,0.2150476293701943,0.22273800611552486,0.13776511180995518,0.2150476293701943,0.22273800611552486,0.13776511180995518,0.2150476293701943,0.22273800611552486,0.21777815765808606,0.19226526148424164,0.25109793405177916,0.18357919247752383
hybrid_dense_lexical_dw0.75_lw0.25,minibatch_kmeans_ablation,dense=0.75;lexical=0.25,5509,12,0.12053004174986386,0.0,0.12315010566595354,0.2258455331231478,0.23343992920217524,0.12315010566595354,0.2258455331231478,0.23343992920217524,0.12315010566595354,0.2258455331231478,0.23343992920217524,0.20426139230469817,0.1800449826549932,0.23600446391391974,0.18132639908589906
hybrid_dense_lexical_structural_dw1.25_lw0.5_sw0.25,minibatch_kmeans_ablation,dense=1.25;lexical=0.5;structural=0.25,5509,12,0.10528226538391723,0.0,0.13341641823991396,0.208450925827506,0.21615088621037803,0.13341641823991396,0.208450925827506,0.21615088621037803,0.13341641823991396,0.208450925827506,0.21615088621037803,0.20871999194105698,0.18905630309088356,0.23294894074579936,0.1774968305782813
hybrid_dense_lexical_structural_dw1.25_lw0.25_sw0.1,minibatch_kmeans_ablation,dense=1.25;lexical=0.25;structural=0.1,5509,12,0.10564530767834453,0.0,0.13516605434971124,0.2038827548984275,0.21162579174686272,0.13516605434971124,0.2038827548984275,0.21162579174686272,0.13516605434971124,0.2038827548984275,0.21162579174686272,0.2104773320757931,0.19099663763272454,0.23438324144555303,0.17632828163647318
hybrid_dense_lexical_dw0.75_lw0.75,minibatch_kmeans_ablation,dense=0.75;lexical=0.75,5509,12,0.16699945543655836,0.0,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.19237790438353267,0.16417289618772932,0.23228453564746185,0.17430745708030582
hybrid_dense_lexical_dw0.5_lw0.5,minibatch_kmeans_ablation,dense=0.5;lexical=0.5,5509,12,0.16699945543655836,0.0,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.19237790438353267,0.16417289618772932,0.23228453564746185,0.17430745708030582
hybrid_dense_lexical_dw1.0_lw1.0,minibatch_kmeans_ablation,dense=1.0;lexical=1.0,5509,12,0.16699945543655836,0.0,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.19237790438353267,0.16417289618772932,0.23228453564746185,0.17430745708030582
hybrid_dense_lexical_dw1.25_lw1.25,minibatch_kmeans_ablation,dense=1.25;lexical=1.25,5509,12,0.16699945543655836,0.0,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.11033712435538168,0.2240246556834535,0.2317032310411763,0.19237790438353267,0.16417289618772932,0.23228453564746185,0.17430745708030582
hybrid_dense_lexical_dw1.0_lw0.75,minibatch_kmeans_ablation,dense=1.0;lexical=0.75,5509,12,0.11054637865311309,0.0,0.12156092949804288,0.21402977482392063,0.22168382288601554,0.12156092949804288,0.21402977482392063,0.22168382288601554,0.12156092949804288,0.21402977482392063,0.22168382288601554,0.197530629752163,0.17831822260914157,0.22138292497404377,0.17420131548613346
hybrid_dense_lexical_structural_dw0.75_lw0.75_sw0.1,minibatch_kmeans_ablation,dense=0.75;lexical=0.75;structural=0.1,5509,12,0.15520058086767108,0.0,0.11012560998803694,0.21843305696506116,0.22615284940953984,0.11012560998803694,0.21843305696506116,0.22615284940953984,0.11012560998803694,0.21843305696506116,0.22615284940953984,0.19115964429035337,0.1644304137506724,0.22826571762228107,0.17149443559987895
hybrid_dense_lexical_structural_dw1.25_lw1.25_sw0.1,minibatch_kmeans_ablation,dense=1.25;lexical=1.25;structural=0.1,5509,12,0.1660918497004901,0.0,0.10764804113090104,0.22036901110190404,0.22808300560872546,0.10764804113090104,0.22036901110190404,0.22808300560872546,0.10764804113090104,0.22036901110190404,0.22808300560872546,0.18971374088287474,0.16209343327675005,0.2286802767922744,0.17133171413840745
hybrid_dense_lexical_structural_dw1.25_lw0.5_sw0.1,minibatch_kmeans_ablation,dense=1.25;lexical=0.5;structural=0.1,5509,12,0.12053004174986386,0.0,0.12415918413511949,0.20396297452486126,0.21170109168219997,0.12415918413511949,0.20396297452486126,0.21170109168219997,0.12415918413511949,0.20396297452486126,0.21170109168219997,0.20117766915906177,0.18255937236543848,0.22402481432746102,0.17120115689787044
hybrid_dense_lexical_dw1.25_lw0.25,minibatch_kmeans_ablation,dense=1.25;lexical=0.25,5509,12,0.12234525322200036,0.0,0.12186399442049117,0.20510632286121275,0.2128338861987239,0.12186399442049117,0.20510632286121275,0.2128338861987239,0.12186399442049117,0.20510632286121275,0.2128338861987239,0.19992058666188195,0.1813653456318435,0.22270525768368765,0.17077305178044727
hybrid_dense_lexical,minibatch_kmeans_ablation,n_clusters=12,5509,12,0.15320384824832092,0.0,0.10619229338100679,0.2168386769433479,0.22459268106190466,0.10619229338100679,0.2168386769433479,0.22459268106190466,0.10619229338100679,0.2168386769433479,0.22459268106190466,0.18801133300978884,0.16058285093378963,0.2267398067488012,0.16897586027040556
hybrid_dense_lexical_structural_dw1.25_lw0.25_sw0.25,minibatch_kmeans_ablation,dense=1.25;lexical=0.25;structural=0.25,5509,12,0.13704846614630606,0.0,0.11936540942829468,0.20281713897291803,0.21059033040880748,0.11936540942829468,0.20281713897291803,0.21059033040880748,0.11936540942829468,0.20281713897291803,0.21059033040880748,0.19675438969570663,0.17628458324234247,0.2226025432464795,0.1683715111644152
hybrid_dense_lexical_structural_dw1.0_lw1.0_sw0.1,minibatch_kmeans_ablation,dense=1.0;lexical=1.0;structural=0.1,5509,12,0.17244508985296786,0.0,0.10610450476067403,0.21521551735535294,0.22297682410427297,0.10610450476067403,0.21521551735535294,0.22297682410427297,0.10610450476067403,0.21521551735535294,0.22297682410427297,0.18818489208550418,0.16055711813987175,0.22729687063347973,0.1682556393424419
hybrid_dense_lexical_dw1.0_lw0.25,minibatch_kmeans_ablation,dense=1.0;lexical=0.25,5509,12,0.1192593937193683,0.0,0.11791452055016997,0.19996632260106473,0.20774965952883767,0.11791452055016997,0.19996632260106473,0.20774965952883767,0.11791452055016997,0.19996632260106473,0.20774965952883767,0.1961368798359941,0.17754930466861607,0.21907138745921498,0.1665324115346722
dense_bge_pca,minibatch_kmeans_ablation,n_clusters=12,5509,12,0.10401161735342167,0.0,0.11906762764526428,0.19529806359542867,0.20310123088285786,0.11906762764526428,0.19529806359542867,0.20310123088285786,0.11906762764526428,0.19529806359542867,0.20310123088285786,0.1958220062982801,0.1794829492277543,0.21543381581358162,0.16471960999303548
hybrid_dense_lexical_structural_dw1.25_lw1.0_sw0.1,minibatch_kmeans_ablation,dense=1.25;lexical=1.0;structural=0.1,5509,12,0.10655291341441278,0.0,0.11087664633661404,0.2022921412409598,0.2100891686891994,0.11087664633661404,0.2022921412409598,0.2100891686891994,0.11087664633661404,0.2022921412409598,0.2100891686891994,0.18814652797897652,0.16828305803825613,0.21332678181787898,0.16387301991727132
hybrid_dense_lexical_structural_dw1.0_lw0.75_sw0.1,minibatch_kmeans_ablation,dense=1.0;lexical=0.75;structural=0.1,5509,12,0.10963877291704484,0.0,0.1109248597311549,0.20073841856399816,0.2085456366802128,0.1109248597311549,0.20073841856399816,0.2085456366802128,0.1109248597311549,0.20073841856399816,0.2085456366802128,0.18865656556983948,0.16899635000406532,0.21349334577010842,0.1632928639161672
hybrid_dense_lexical_dw1.0_lw0.5,minibatch_kmeans_ablation,dense=1.0;lexical=0.5,5509,12,0.10564530767834453,0.0,0.12242053492839533,0.18588329072290075,0.19379810233014913,0.12242053492839533,0.18588329072290075,0.19379810233014913,0.12242053492839533,0.18588329072290075,0.19379810233014913,0.19935321589416985,0.18119575713727853,0.2215550410580142,0.16222298738447
hybrid_dense_lexical_dw0.5_lw0.25,minibatch_kmeans_ablation,dense=0.5;lexical=0.25,5509,12,0.10564530767834453,0.0,0.12242053492839533,0.18588329072290075,0.19379810233014913,0.12242053492839533,0.18588329072290075,0.19379810233014913,0.12242053492839533,0.18588329072290075,0.19379810233014913,0.19935321589416985,0.18119575713727853,0.2215550410580142,0.16222298738447
hybrid_dense_lexical_dw0.75_lw0.5,minibatch_kmeans_ablation,dense=0.75;lexical=0.5,5509,12,0.1682701034670539,0.0,0.11503448693223077,0.19145351754763884,0.1994038271371232,0.11503448693223077,0.19145351754763884,0.1994038271371232,0.11503448693223077,0.19145351754763884,0.1994038271371232,0.19686315988200218,0.17172841250099052,0.23061704541458694,0.16202463834987824
hybrid_dense_lexical_structural_dw1.25_lw0.75_sw0.25,minibatch_kmeans_ablation,dense=1.25;lexical=0.75;structural=0.25,5509,12,0.11871483027772735,0.0,0.11295660588993023,0.19180430203586696,0.19968606002216016,0.11295660588993023,0.19180430203586696,0.19968606002216016,0.11295660588993023,0.19180430203586696,0.19968606002216016,0.19141211395068283,0.17242586625364215,0.21509698648796205,0.1604517799698291
hybrid_dense_lexical_structural_dw0.75_lw0.5_sw0.1,minibatch_kmeans_ablation,dense=0.75;lexical=0.5;structural=0.1,5509,12,0.1192593937193683,0.0,0.10927619092957586,0.19551476326211006,0.2033705989351714,0.10927619092957586,0.19551476326211006,0.2033705989351714,0.10927619092957586,0.19551476326211006,0.2033705989351714,0.1876234168925363,0.16759988383611577,0.21308063731069543,0.1602531430435949
hybrid_dense_lexical_structural_dw0.75_lw0.25_sw0.1,minibatch_kmeans_ablation,dense=0.75;lexical=0.25;structural=0.1,5509,12,0.11581049192230895,0.0,0.11130431091928432,0.19303262533844517,0.2008870465912193,0.11130431091928432,0.19303262533844517,0.2008870465912193,0.11130431091928432,0.19303262533844517,0.2008870465912193,0.18750220020020267,0.1697047800900676,0.20946990096847684,0.1597200200313197
hybrid_dense_lexical_dw1.25_lw0.5,minibatch_kmeans_ablation,dense=1.25;lexical=0.5,5509,12,0.111635505536395,0.0,0.10846910552603418,0.1958703478688901,0.20368382604645094,0.10846910552603418,0.1958703478688901,0.20368382604645094,0.10846910552603418,0.1958703478688901,0.20368382604645094,0.18445116043983337,0.1677727302703141,0.204811662437793,0.1595259898311677
hybrid_dense_lexical_structural_dw1.25_lw0.75_sw0.1,minibatch_kmeans_ablation,dense=1.25;lexical=0.75;structural=0.1,5509,12,0.17117444182247232,0.0,0.10881086737465066,0.18294684269734335,0.19097344175531633,0.10881086737465066,0.18294684269734335,0.19097344175531633,0.10881086737465066,0.18294684269734335,0.19097344175531633,0.18923152760727474,0.1650802380056483,0.2216605315610929,0.15482229471214792
