id,text_norm_hash
-462000014,1fea2b41462e7472a8226960ef6adb318abc13f2f870784b4e670440235c2ce5
-462000017,6484487fc7a80d0554a9673b5a3e45117a0a4da4e17fc0976959252593f989bb
-461600024,1b68346dc82c8fa322f16709d2cd3a62a5dcf168f542721f1f976b2c0059b2a1
-461600026,feda2c1a49c65e8ae3334c5e4a017c734ea9d84a955917d9fd73384abd48c3b4
-461500003,f2ef1dcd7ccd9aa1a031a154a58ac303af3ef24089c6d39d60d5be9abfa488ad
-472300006,fa82eea7de67ea95958f419e061552a8609669b5f15a82a70ebe3092390a96c5
-472200003,09aa043a6fad0c24ba850e9ab0790804f568784c3b2a4bf4dd28f12a7c6816e8
-472200005,58d9337bb7660af3e3a999c55bc7e78ba5c2762f9db3c46cb6d41fdec69fd2f7
-472200006,4560fa253ef21b5656e19e25d24f7ad2a4bf5480d383b2f731d89acbbef872da
-472200007,b62a80625882aff2da2564be86058bdb819841bf4043211b432f53c492e56d48
-472200008,591e08e2eb86cafcc725c39e5c063ff95ebb6fe582449dea916e49733ff519df
-472200016,d6ccb454580bafdbf805bf188d6a285ee1ae699812ee12c6804edee1a5ec71ac
-472200018,877712f0ff9d039fa11c3a006563b82d2692fe6d8c78535854275cd8e5663ff4
-472000002,ff950b777a7f6257f2e7488f6c2520c7f15cf1e77ccd99eb44011032e6442c9e
-471800003,41dbd4bbb7637203802778c00d1ae455c29ca03bf0594d833c3ee13f7a35a384
-471700002,e4e96c5ae720171b71e18580269c368214afbeb565a2f71279435bc0809ad6c5
-471700007,06b5aebcca613416f6ea68cb6e896f05694d480e7cd998cd93920312e91ed3ee
-471600001,3fd7290c550eed139672ca753ffbbe688ba2f355124c510976a4b3f835118c79
-471400003,b22c893828abbf7251aa270737016bfc921f1ca554b3045d085b58dc746493d0
-482900001,2a96a7b6335c6d6f3a699514a5e0c646bdfbbc71f3eee98ca53e641b26e855b7
-482900003,3dc8dc7464718b6ea9c87147e7227380265de83dd3be0698cbdd473c19c48bfa
-482900004,c0a3e94cfb37d353feca810647b73c990d027f57471acbf37c7661f7e177470a
-482900007,5a1abb93e0ce89fab5e65d56b3dc596a4ae45a011e37f687e18168d693aa9ad2
-482900008,5a923baacba6338d11b6803c21f9b0a4131fa999c330fff08630f85476c76fe2
-482700002,741c434da60ab19cb7e2a4fb19efe006ef5c69fdf56fd34bee19bb32fd1cb0c6
-482600006,f6023bee825510e67085d4952d0df3cc603143c47a42e194e786e64aa50c3265
-482400001,434c13761f13f5c2569b84c6552c536c976e28d2e5bed7c09c041564bccdadc5
-482400007,9eae4222cd76e01b6a7cc4623742cfa007bdeb3f03d2e3ab2c05647056bfc095
-482400008,0c21d257f98b82bb5505988b8f21fe7bbeb68d1511d21df01f5005d13aec72c6
-482400009,7cad79c43da8d972db5287283ab47c54b80d3487a7c507da784953c129a64c6e
-482400015,3cbbfd178c384bf13728ed5d7b615758a22f5a37068ecb9d952eb779040a424b
-482300001,635d61390677720663162867b400caa24007ec9ee5d410bc739dd25bf0409231
-482300003,0f9a682cd52b4d518bc550376b2ad9b26681c95e17b0424ed0773a7ced042cec
-482300004,b10a868e0eb5cf2017faddbca0131b618ecd6b524c45a3325fad11e328d6cd74
-482100009,a91bce966fbd5dccc32a95b395d57a52edf1894cafc9d988392580a5abfe941f
-492900003,85fb2af4b991917c61c917343f5a5e0f04728787154fd43519769de4f3a7b755
-492900006,ab78b4b75a0f25d133fe72f6e2c48ec5b00ccab0fa772fb635ac8322e7be9868
-492900007,f42e0bf011a79e3475591af8265d8a25d0e8f661e76d217846e43f8f14600a21
-492900008,f4ca93a009231088abbc3e0df48526f7a8a84f4e17fe2378525463b6443619a0
-492800005,d7b63f5e13cec108b30ad7bec889bb6a0eadb96fc2407c9182acd998f2cedd90
-492800006,3363b349a931cdf5979f27321a385c43e73237394a3c26ea658b2e124a8f9a46
-492800013,6d1f16baad12112eebdbc281573c8445eda97e2053d4b95017f09c3a7822137f
-492800032,088eeef69bff8822a177aade9aaabdaf3820f2e54009ecc861c0b1cb2deb4297
-492700006,cf2ca15d576bff4a432d1d80a7dc79130b142e191fdda06736f88d75bf5f42f3
-492700011,f71a6e343c49bf344b629415f5d6ace31e7e9238989f76346595717b9cc85cc9
-492500017,1b9153422c0272dcb03acfa01b89276eff0f9c39badf901fdfa4f61a24ad45b2
-492400005,53e30ec1e8149d5ec0e457cbe5eec49cf8689804475065da343c6fca09e7da05
-503100004,08fa022a61fa5a34725df0b01a1ebc36e4470ae185a0a23416cf1783b4201cb3
-503100006,24a43ea6653d910a3e2ffeba754eef4a97dc9cdc6fff204937fb95451e95b2c6
-503100007,13cbcb300e7875982cceafdc6502df8002b6e1fcf3bf5a80bbb1a4b728de4024
-503100008,87465c55a0571212af03e95360eab38dcd99890a5bff3aa47084bdd872b58d1b
-503000002,9451f51f1be134af773d4bf35030c33bddecc6113bed7272c8a1d51610019c4a
-503000006,c1e8c01f0eaffddd73ae29b634746764ed2e10709a2ea0e1bf8a304c819a1e47
-502500003,4299ec2356e9487ec72f1e029b38b8c13cdcc0757a8f8cc9e7d9ffa21c58f2c0
-502500006,b6cd1038eb3698f7f63716351f2088c3183d818d002e483d4005dbdd93aca421
